source,question,answer,context
monopoly,What is the educational purpose of The Landlord's Game compared to the gameplay mechanics and variations of Monopoly?,"The Landlord's Game was designed as an educational tool to teach children basic arithmetic skills, such as addition and subtraction, through the use of paper money. In contrast, Monopoly incorporates these educational elements into its gameplay mechanics but has evolved to include variations that use bank cards and electronic devices to track player balances, moving away from the original paper money format.","Besides demonstrating the dangers of land rents and monopolies, Lizzie Magie also intended The Landlord's Game for children as a teaching tool to learn how to add and subtract through the usage of paper money, which was inherited by Monopoly and the vast majority of its spin-offs. However, some Monopoly variations use bank cards instead of paper money.
In these specific variations, instead of receiving paper money, each player receives a plastic bank card that is inserted into a calculator-like electronic device that keeps track of the player's balance."
monopoly,"What is the sequence of actions players undertake in Monopoly, including property transactions and Chance outcomes?","In Monopoly, players travel around the gameboard, buying properties and collecting rent. They can land on Chance spaces or roll the Chance icon to spin the Chance spinner, which may result in outcomes like hitting the ""Jackpot,"" going bankrupt, or being sent to Jail. The game continues until the bank crashes, and the player with the most cash at that point wins.","During the game, players travel around the gameboard buying properties and collecting rent. If they land on a Chance space, or roll the Chance icon on a die, they can spin the Chance spinner to try to make more money. Players may hit the ""Jackpot"", go bankrupt, or be sent to Jail. The player who has the most cash when the bank crashes wins."
terraforming_mars,What are the differences in gameplay mechanics and thematic elements among the various expansions for Terraforming Mars?,"The expansions for Terraforming Mars introduce various gameplay mechanics and thematic elements:

1. **Hellas and Elysium**: Features a double-sided board with unique terrain layouts and specific milestones for each region.
2. **Venus Next**: Introduces a side-board for Venus, adding new cards related to terraforming Venus.
3. **Prelude**: Adds Prelude cards that enhance initial production and terraforming efforts during setup.
4. **Colonies**: Expands gameplay by allowing players to colonize areas in the Solar System for resource acquisition without relying solely on cards.
5. **Turmoil**: Introduces a political system with factions that players can influence for bonuses, adding a strategic layer to gameplay.
6. **Prelude 2**: Expands on Prelude with new corporation and project cards, enhancing strategic options.
7. **Milestones and Awards**: Randomizes milestones and awards, increasing variability in objectives.
8. **Automa**: Introduces a solo mode, allowing for single-player gameplay.
9. **Amazonis & Vastitas**: Adds another double-sided board with new terrain layouts, additional tiles, and longer global parameters.
10. **Utopia & Cimmeria**: Similar to Amazonis & Vastitas, it features a new double-sided board with unique terrain and achievements.

Each expansion builds on the core mechanics while introducing new thematic elements and strategic options, enhancing the overall gameplay experience.","Ten expansions have been released:  
Hellas and Elysium (2017), which adds a new double-sided board representing two new regions of Mars, with each region having its own terrain layout, milestones, and end-game achievements
Venus Next (2017), which adds a new side-board representing Venus as a new terraforming opportunity and new Venus-related cards for the deck
Prelude (2018), which adds Prelude cards that players take during setup to jump-start their production and terraforming
Colonies (2018), which adds areas around the Solar System for players to colonize and travel to, providing alternative ways of getting resources without having to play cards
Turmoil (2019), which adds a Martian government with several political factions, each with their own agendas, which players can influence to gain various bonuses
Prelude 2 (2024), which adds 5 new corporation cards, 25 prelude cards, and 24 project cards
Milestones and Awards (2024), which allows players to randomize 35 milestones and 35 awards
Automa (2024), which provides a new solo player mode
Amazonis & Vastitas (2024), which adds a new double-sided board representing two new regions of Mars, with each region having its own terrain layout, milestones, and end-game achievements, along with longer global parameters in one region; it also includes additional ocean and city/greenery tiles, a Standard Project tile, and a new Venus board
Utopia & Cimmeria (2024), which adds a new double-sided board representing two new regions of Mars, with each region having its own terrain layout, milestones, and end-game achievements"
monopoly,What are the key changes in the design of Chance and Community Chest cards in the game Monopoly throughout its history?,"Key changes to the Chance and Community Chest cards in Monopoly include:

1. **Original Design (1935)**: Cards had no decoration or text on the back, with Community Chest cards traditionally yellow and Chance cards orange.

2. **2008 Redesign**: All cards were altered, featuring a 3D Mr. Monopoly model instead of the original line illustration. The backs of the cards now include their respective symbols, with Community Chest cards in blue and Chance cards in orange.

3. **Card Content Changes**: Specific cards were renamed, such as the ""poor tax"" becoming ""speeding fine,"" while their effects remained similar. The school tax payment was reduced from $150 to $50, and the sale of stock payout increased from $45 to $50.

These changes reflect both aesthetic updates and gameplay adjustments over the years.","There have since been some changes to the board. Not all of the Chance and Community Chest cards shown in the 1935 patent were used in editions from 1936/1937 onwards. Graphics with the Mr. Monopoly character (then known as ""Rich Uncle Pennybags"") were added during that same time frame. A graphic of a chest containing coins was added to the Community Chest spaces, as were the flat purchase prices of the properties. Traditionally, the Community Chest cards were yellow (although they were sometimes printed on blue stock), with no decoration or text on the back; Chance cards were orange, also with no text or decoration on the back.
Hasbro commissioned a major graphic redesign to the U.S. standard edition of the game in 2008, along with some minor revisions. Among the changes: the colors of Mediterranean and Baltic avenues were changed from purple to brown, and the color of the ""Go"" square was changed from red to black. The Luxury Tax amount was increased from $75 to $100, and a flat $200 income tax was imposed (formerly the player's choice of $200 or 10% of their total holdings, which they could not calculate until after making their final decision). Originally, the amount was $300, but was changed a year after the game's debut.
There were also changes to the Chance and Community Chest cards. For example, the ""poor tax"", ""receive for services"", ""Xmas fund matures"", and ""grand opera opening"" cards became ""speeding fine"", ""receive $25 consultancy fee"", ""holiday fund matures"", and ""it is your birthday"", respectively; though their effects remained the same, the player must pay only $50 instead of $150 for the school tax. In addition, a player now gets $50 instead of $45 for sale of stock, and the ""Advance to Illinois Avenue"" card now includes added text indicating that the player collects $200 if they pass Go on the way there.  
All the Chance and Community Chest cards were altered in 2008 as part of the game's redesign. Mr. Monopoly's original line illustration was typically replaced by renderings of a 3D Mr. Monopoly model. The backs of the cards now feature their respective symbols, with Community Chest cards in blue and Chance cards in orange.
Additionally, recent versions of Monopoly replace the dollar sign ($) with an ""M"" symbol including two horizontal strokes through it.
In the US versions shown below, the properties are named after locations in (or near) Atlantic City, New Jersey.
Atlantic City's Illinois Avenue was renamed Martin Luther King Jr. Boulevard in the 1980s. St. Charles Place no longer exists, as the Showboat Atlantic City was developed where it once ran. The values on the board reflect real estate property values of 1930s Atlantic City. The two cheapest properties, Baltic Avenue and Mediterranean Avenue, were situated in a low-income, African-American neighborhood; higher-value properties, such as Pennsylvania Avenue, Park Place, and Ventnor Avenue, were situated in wealthier neighborhoods.
Various Monopoly-inspired board games have since been created, typically following a similar naming convention suffixed with ""-opoly"".  
Marvin Gardens, the farthest yellow property, is a misspelling of its actual name, Marven Gardens. The misspelling was introduced by Charles and Olive Todd, who taught the game to Charles Darrow. It was passed on when their homemade Monopoly board was copied by Darrow and then by Parker Brothers. The Todds also changed the Atlantic City Quakers' Arctic Avenue to Mediterranean, and shortened the Shore Fast Line to the Short Line.
It was not until 1995 that Parker Brothers acknowledged the misspelling of Marvin Gardens, formally apologizing to the residents of Marven Gardens.
Short Line refers to the Shore Fast Line, a streetcar line that served Atlantic City. The B&O Railroad did not serve Atlantic City. A booklet included with the reprinted 1935 edition states that the four railroads that served Atlantic City in the mid-1930s were the Jersey Central, the Seashore Lines, the Reading Railroad (now part of Norfolk Southern & CSX), and the Pennsylvania Railroad.
The Baltimore & Ohio (now part of CSX) was the parent of the Reading. There is a tunnel in Philadelphia where track to the south was B. & O. and track to the north was Reading. The Central of N.J. did not have a track to Atlantic City but was the daughter of the Reading (and granddaughter of the B. & O.) Their track ran from the New York City area to Delaware Bay and some trains ran on the Reading-controlled track to Atlantic City.
The actual ""Electric Company"" and ""Water Works"" serving the city are respectively Atlantic City Electric Company (a subsidiary of Exelon) and the Atlantic City Municipal Utilities Authority."
gloomhaven,"What are the key differences between Gloomhaven's cooperative, campaign-driven gameplay and traditional role-playing games like Dungeons & Dragons?","Gloomhaven's cooperative, campaign-driven gameplay differs from traditional role-playing games like Dungeons & Dragons in several key ways. Firstly, Gloomhaven is a tactical skirmish game with a focus on combat-based scenarios that scale in difficulty based on the number of players, whereas Dungeons & Dragons often emphasizes storytelling and character development. 

Additionally, Gloomhaven employs a legacy format where players interact with the game board and components through stickers and sealed envelopes, affecting the campaign's progression. In contrast, Dungeons & Dragons typically relies on a more flexible narrative structure without permanent changes to the game materials.

Moreover, Gloomhaven uses a card-based action system where players select two cards each turn to determine their actions, while Dungeons & Dragons commonly utilizes dice for randomization. Lastly, Gloomhaven's characters can improve their abilities and modify their attack decks as the campaign progresses, focusing on tactical gameplay rather than the extensive character customization often found in traditional RPGs.","Gloomhaven is a fantasy-themed, campaign-based tactical skirmish game, in which players try to triumph in combat-based scenarios which scale in difficulty depending on the number of players. The game is cooperative and campaign driven, with one to four players working their way through a branching story consisting of 95 scenarios. The campaign develops in a legacy format, with stickers that are placed on the board and cards and sealed envelopes that are opened when certain criteria are met.
While it has drawn comparisons to role-playing games such as Dungeons & Dragons and other dungeon crawl board games, Gloomhaven uses game mechanics similar to modern eurogames.
Characters and monsters move about on hex tiles representing dungeons and cellars. Players simultaneously choose two cards to play each turn, each of which has a top and a bottom half, and choose the top half of one card and the bottom of the other to allow their characters to take actions such as moving, healing and attacking monsters. Randomization is not provided by dice, as is usually the case with such games, but is handled by a deck of cards, called the ""attack modifier deck"". As the campaign progresses, characters can increase in power, gaining new abilities and improving the cards in their attack modifier decks."
monopoly,"What are the rules for shortening Monopoly, including time limits and player bankruptcy conditions, as specified in the game guidelines?","To shorten Monopoly, the rules allow for several modifications: 

1. **Dealing Title Deed Cards**: Each player can be dealt two Title Deed cards before the game starts.
2. **Time Limit**: A time limit can be set for the game duration.
3. **Bankruptcy Conditions**: The game can end when one player goes bankrupt, rather than two, which is similar to the junior version.

In tournament play, which also follows a time limit, standard game rules apply without any modifications. The winner is determined by calculating scores based on cash, properties owned, mortgaged properties, houses, and hotels.","From 1936, the rules booklet included with each Monopoly set contained a short section at the end providing rules for making the game shorter, including dealing out two Title Deed cards to each player before starting the game, by setting a time limit or by ending the game after two players go bankrupt. A later version of the rules changed the termination condition to one player going bankrupt, similar to the junior version, in addition to adding the time limit game, in the main rules booklet.  Tournaments, which are played to a time limit, are played as standard games with no rule changes (no Title Deed cards handed to players).
In all short games (including tournament play), the winner (and other players who advance in tournament play) is determined by their score.  A player's total score consists of cash on hand, added by properties owned based on the price printed on the board, mortgaged properties at one-half the price on the board (mortgage value), houses at the purchase price, and hotels, at the purchase price and value of houses turned in."
carcassonne,What enhancements do the new tiles and figures in 'Inns and Cathedrals' provide for gameplay and scoring in Carcassonne?,"The 'Inns and Cathedrals' expansion introduces new tiles and a large figure that counts as two followers, enhancing gameplay and scoring. Special tiles for inns and cathedrals can be placed on roads and cities, increasing their value—inns add one point per road tile, while cathedrals add one point per tile or pennant in a city. However, if these features are incomplete at the end of the game, they score zero points. Additionally, the expansion includes six 50/100 point tiles for scorekeeping and allows for a sixth player to join the game with new follower figures.","""Inns and Cathedrals"" (""Wirtshäuser und Kathedralen"", 2002)(2015 New Edition)
Originally known simply as ""Carcassonne: The Expansion,"" Inns and Cathedrals adds some new tiles, and one new figure.
A large figure that counts as two followers, when calculating who scores points for the completed feature.
Special tiles with Inns and Cathedrals can be placed as part of roads and cities to enhance their value—provided they are completed by the end of the game. Inns add one point per road tile, while Cathedrals add one point per tile or pennant in a city. However, if the city or road is not completed, it has zero value.
Six 50/100 point tiles to help keep score.
Followers that allow a sixth player to play (grey 2002)(pink 2015)
""Traders and Builders"" (""Händler und Baumeister"", 2003)(2015 New Edition)
Adds additional tile types, two new figures, and trade good tiles.
Trade goods appear in cities and are collected by the player who completes the city, even if they are not the one who scores it (thus encouraging the completion of other people's cities).
A ""pig"" follower which increases the value of a field it is placed in.
A ""builder"" follower which grants an extra turn to the owning player whenever the feature is extended or completed.
An opaque cloth bag which players can use while drawing tiles.
""The Princess and the Dragon"" (""Burgfräulein und Drache"", 2005)(2016 New Edition)
The Princess and the Dragon adds new tiles and figures.
Tiles with ""magic portals"" allow players to place followers on an incomplete feature of a previously placed tile.
Volcano and Dragon tiles that place and move the dragon.
Princess tiles and Dragon figure allow for followers to be removed.
A Fairy figure also allows protection to a follower and its tile from the dragon.
""The Tower"" (""Der Turm"", March 2006)(2016 New Edition)
The Tower adds a vertical element to Carcassonne, adding new tiles and tower pieces.
Eighteen tiles with tower foundations, which allow a player to add a tower section and capture nearby followers.
Tower pieces to build with.
A cardboard tile tower for easy tile storage, also acting as a mechanism from which tiles are drawn.
""Abbey and Mayor"" (""Abtei und Bürgermeister"", October 2007)(2016 New Edition)
Another full-sized expansion, featuring:
Abbey tiles that can fill in holes in the board and complete features.
Mayors who can be placed as followers in cities.
A barn that causes field scoring.
Wagons that can score features and then move to a nearby unclaimed and incomplete feature.
Additional tiles that, in response to fan feedback, fix specific situations that have been previously impossible to complete.
""Count, King & Robber"" (""Graf, König und Konsorten"", 2008)(2017 New Edition)
12 tiles from River II mini expansion.
12 tiles forming the city of Carcassonne as a 3x4 starting tile from the Count mini expansion. (New Edition has 2 large (2x3) tiles that form the city.)
Count meeple to be placed in the city of Carcassonne.
5 tiles from King mini expansion.
King and Robber Baron tiles for the player/s who have completed the largest city and road respectively. (New edition also has 2 King and 2 Robber Baron tokens to mark the largest city and road scored so far.)
5 tiles with Shrines from the Cult mini expansion.
""The Catapult"" (""Das Katapult"", 2008)
An expansion, featuring:
A physical catapult.
12 fairground tiles that initiate a round using the catapult.
Tokens to be launched by the catapult.
""Bridges, Castles & Bazaars"" (""Brücken, Burgen und Basare"", February 2010)(2018 New Edition)
An expansion, featuring:
12 Bridge pieces enabling players to bridge roads over field tiles.
12 Castle tokens so players can gain additional points from 2-tile cities.
12 new tiles, eight featuring bazaars which introduce a new auction element to the game and four miscellaneous tiles.
""Hills & Sheep"" (""Schafe und Hügel"", June 2014)(2018 New Edition)
An expansion, featuring:
16 sheep tokens, featuring either one, two, three or four sheep each.
2 wolf tokens.
1 cloth bag for the sheep and wolf tokens.
1 ""shepherd"" follower in each of the six colors (one for each player).
18 new tiles, 8 featuring hills, 8 featuring vineyards and 2 featuring cloisters.
""Under the Big Top"" (""Manege Frei"", March 2017)
An expansion, featuring:
20 new tiles, featuring Big Top or Acrobat tower
16 animal tokens
6 Ringmaster meeples, 1 in each player color
1 wooden circus tent figure"
carcassonne,"What are the official expansions for Carcassonne, and how do they change the rules and length of gameplay?","Several official expansions for Carcassonne have been published, introducing additional rules, tiles, and new types of figures. These expansions can significantly extend the length of the game, often more than doubling it. They are generally compatible with each other, allowing players to mix and match expansions for a varied gameplay experience.","Several official expansions for Carcassonne have been published, which add numerous additional rules, tiles and new kinds of figures. Together, they can more than double the length of the game. These expansions are generally compatible with each other and may be played together."
splendor,"What are the criteria for winning in Splendor, and how are ties resolved in the game?","In Splendor, the player with the most prestige points at the end of the game wins. Ties are resolved by first considering who purchased the fewest development cards. If there's still a tie, the player with the fewest reserved cards wins. If all else fails, the players share the victory.","Once the game ends, whoever has the most prestige points wins; in case of a tie, whoever purchased the fewest development cards wins. If this fails to break the tie, the player with fewest reserved cards wins. If all else fails, the players will then share the victory."
ticket_to_ride,"What themes could be explored in new games inspired by the Ticket to Ride expansion, Stay at Home?","New games inspired by the Ticket to Ride expansion, Stay at Home, could explore themes such as family dynamics, daily life challenges, and the concept of home as a microcosm of society. Additional themes might include remote collaboration, resource management within confined spaces, and the impact of external events (like a pandemic) on personal interactions. These themes could be integrated into gameplay mechanics that emphasize cooperation, strategy, and adaptability in a home setting.","On 28 May 2020, Days of Wonder announced their release of an expansion called Stay at Home, in recognition of the global lockdown which resulted from the COVID-19 pandemic. Ticket to Ride: Stay at Home marked the first time that an expansion in the Ticket to Ride series had been set entirely inside a house, where instead of forming railway routes between cities across the world, players controlled family members as they moved around the house from locations, like the balcony, kitchen and bedroom, as they attempted to go about their daily lives. This version functioned as an expansion of the original, Europe, Germany, or Nordic Countries Ticket to Rides, based on a print-out of a pdf map download.
Currently, this expansion has a BoardGameGeek ""complexity rating"" of 2.00 out of 5. The game was designed to be played by 2–4 players, aged 8 years-old and over, for a game lasting 20–40 minutes. This expansion had a unique game mechanism involving multicolored ""family routes"" onto which multiple players can place their train cars along it, with players who had at least one train along it being able to use it to complete their missions.
Reception – On BoardGameGeek, from a vote of 184 voting users, this version holds an average rating of 5.623 and an adjusted ""Geek Rating"" of 7.10. This expansion received the following award recognition:"
dune,"What are the various winning conditions in the game Dune, specifically regarding faction control and special scenarios?","In the game Dune, there are several winning conditions:

1. **Faction Control**: A faction wins by controlling three of the five strongholds at the end of a turn. In a game with only two factions, the winning faction must control four strongholds. An alliance of factions wins by controlling four strongholds.

2. **Longer Game Variant**: In this variant, a faction or alliance must control four strongholds, or all five in a game with only two factions.

3. **Fremen Win Condition**: The Fremen win at the end of turn 10 if no faction has won by conventional means and certain stronghold occupancy conditions are met.

4. **Guild Win Condition**: The Guild wins at the end of turn 10 if no faction has won and the Fremen conditions are not met, preserving the status quo.

5. **Bene Gesserit Win Condition**: The Bene Gesserit win if they correctly predict a winning faction or alliance before the game starts. They cannot predict Fremen or Guild wins at turn 10 but can predict their wins by stronghold control criteria.

These conditions create a dynamic gameplay experience with multiple paths to victory.","A faction wins by controlling three of the five strongholds at the end of a turn. An alliance of factions wins by controlling four of the five strongholds at the end of a turn. In a game with only two factions, the winning faction must control four strongholds.
In a recommended ""longer game"" variant a faction or alliance of factions must control four strongholds, or all five in a game with only two factions.
Three other winning conditions exist:
The Fremen win at the end of turn 10 (the final round of game play) if no faction has won the game by the normal criteria and the occupancy of certain strongholds meets certain constraints. This win condition represents a situation where the Fremen have prevented interference with their own plans for Dune.
The Guild wins if, at the end of turn 10, no faction has won via the conventional win, and the Fremen win conditions are not met. This win condition represents the situation where the Guild has preserved the status quo on Dune and may continue to provide shipping services.
The Bene Gesserit win if, after a faction or alliance has succeeded in a conventional win, they reveal that they predicted (prior to the game's start) that that faction would win in that turn. The Bene Gesserit need only predict one of the winning players in the event of an alliance win. If the Bene Gesserit cause their own alliance to win in the turn that they predicted one of their allies would win, then the Bene Gesserit alone win. This win condition represents the situation where the Bene Gesserit have manipulated the situation so that their hidden agenda is fulfilled.
The Bene Gesserit cannot predict the Fremen or Guild turn 10 default wins.  However they may predict that the Fremen or the Guild will win in turn 10 by the normal majority stronghold occupancy criteria."
monopoly,What trading strategies can players use in Monopoly to accumulate color sets and enhance property rent?,"Players can use several trading strategies in Monopoly to accumulate color sets and enhance property rent. Key strategies include negotiating trades to acquire properties that complete a color set, as having all properties in a set allows for building houses and hotels, which significantly increases rent. Players should aim to trade for properties that are strategically valuable to their opponents while also considering their own needs. Additionally, trading can be used to speed up the process of acquiring properties, ultimately leading to a quicker path to victory. Building at least three houses on each property is crucial, as it ensures that players can break even when opponents land on their properties.","Trading is a vital strategy in order to accumulate all the properties in a color set. Obtaining all the properties in a specific color set enables the player to buy houses and hotels which increase the rent another player has to pay when they land on the property. According to Slate, players trade to speed up the process and secure a win. Building at least 3 houses on each property allows the player to break even once at least one player lands on this property."
ticket_to_ride,What is the current complexity rating of Ticket to Ride: Europe?,The current complexity rating of Ticket to Ride: Europe is 1.92 out of 5 on BoardGameGeek.,"A Europe version was released in mid-2005, as the second installment in the Ticket to Ride series, based on a 1912 map of Europe. Compared to the original version, as it was then its only sequel, it was referred to as the ""gamer's version"" of Ticket to Ride.
The two main map elements, which differed from the original, were the ""ferry routes"", that required locomotive cards to be played when claiming them; and ""tunnel routes"", which added the risk that additional train cards may be necessary to complete the route. Another additional element of the game was the use of ""stations"" which allowed the player to use a route owned by another player to complete their destination tickets. The recommendation was that it be played by 2–5 players, who are aged 8-years-old or older, for a game lasting 30–60 minutes. This version currently has a ""complexity rating"" of 1.92 out of 5 on BoardGameGeek.
Reception – The review from the critics were largely positive. Board Games Land wrote ""With Ticket to Ride: Europe, everyone in the family will enjoy the mix of tension and satisfaction by building train networks and completing objectives. It has a challenging map and newly introduced 'stations' and 'tunnels', adding a very welcome twist. I am yet to find a family that would not have enjoyed the family board game experience the game delivers. In addition, it is one of the most popular family board games ever made!"" Critical review centered on this version's legitimacy in comparison with the original version. Tyler Nichols (Board Game Quest), while giving it 5 out of 5, wrote ""Ticket to Ride: Europe takes the original game and, in my opinion, makes it better than any of the other editions. The core game play of Ticket to Ride is very intuitive and accessible to new players, but still has some strategic elements to keep hardcore board gamers engaged. Ticket to Ride: Europe is one of the greatest gateway games ever made and should find a place on your gaming shelf."" Ken B. (There will be Games), while giving this version a 4 out of 5 wrote ""If you think that your audience can handle the few extra rules, go for Europe. If you think the basic game or presence of the US map is going to make a difference, definitely go with that. Either way, I don't think you can go wrong."" On BoardGameGeek, the game currently has an average rating of 7.53, and an adjusted ""Geek Rating"" of 7.405, from a response of 76,305 voting users.
The Ticket to Ride: Europe version won the following awards:  
The following card expansions were released to complement Ticket to Ride: Europe:  
a) Europa 1912  
– On 6 August 2009, Days of Wonder announced the October 2009 global release of a card expansion, entitled Europe 1912, at a suggested retail price of €15/$20 (USD). This card expansion containing additional destination tickets and an additional play mechanism involving ""warehouses"" and ""depotes"". On BoardGameGeek this expansion received a ""complexity rating"" of 1.93 out of 5.  
Reception  
– The expansion received positive reviews, with specific mention of its perceived indispensability with the base game. Antonios S (RPG) wrote ""Ticket To Ride: Europa 1912 is the kind of expansion that adds to a game's tactical experience without making the learning curve any harder. It is straightforward, it is tense, it is inexpensive. I can't see myself playing Ticket to Ride Europe without it in the future."" Nikhil Vyas (Scot Scoop) wrote ""Overall, Ticket to Ride Europe 1912 is an excellent expansion for Ticket to Ride Europe. The new tickets are a necessary addition to the game, and the warehouses and depots are fun to bring out once in a while. My only issue with this expansion is that the rulebook focused so much on supporting many languages that it didn't do a good job teaching the rules in any of them."" On BoardGameGeek, Europa 1912 received an average rating of 7.63, and an adjusted ""Geek Rating"" of 7.019, from the combined votes of 5,736 voting users.  
b) Orient Express  
– This card expansion, called Ticket to Ride: Europe – Orient Express, premiered at Spiel '15 (8 – 11 October 2015) in Essen, Germany, where it was given free from the Days of Wonder booth with a purchase of either Ticket to Ride: United Kingdom or Zug um Zug 1902, and was subsequently available for purchase via the Days of Wonder website.  
This expansion contained seven destination tickets based on the route of the Orient Express. Currently, on BoardGameGeek, this card expansion has a ""complexity rating"" of 1.5 out of 5.  
Reception  
– On BoardGameGeek, the Orient Express mini-expansion has an average rating of 7.10, and an adjusted ""Geek Rating"" of 5.674, as a result of votes from 259 voting users."
everdell,Which platforms can players access the Everdell game adaptation released in 2022?,"Players can access the Everdell game adaptation released in 2022 on Steam, iOS, Android, and Nintendo Switch.","A video game adaptation developed by Dire Wolf Digital was released in July 2022 on Steam, iOS and Android. A Nintendo Switch version was released in September 2022."
ticket_to_ride,"What is the release date of Ticket to Ride: New York, and where was it exclusively launched?","Ticket to Ride: New York was released in North America and Europe in July 2018, with its exclusive launch in the United States on 8 July 2018 through Target stores.","On 15 May 2018, Days of Wonder announced that a new ""express"" version of Ticket to Ride was being released called Ticket to Ride: New York, based on a 1960s map of the city of New York City (New York, United States). This version was released in North America and Europe in July 2018, at a suggested retail price of $20 (USD) and €20 respectively, being released in the United States on 8 July 2018 exclusively through Target stores.
This version has a BoardGameGeek ""complexity rating"" of 1.25 out of 5 The unique point scoring feature was the claiming routes into tourist attraction destinations. Instead of trains, the playing pieces were taxis. The transportation cards represented a variety of common New York transport options:  
Reception – The game received positive reviews, with the majority of reviews focusing on the difference of the new cities-style of game from the format of the original versions. Mathew Bolton (T3 magazine), while giving the version 5 out of 5 stars, wrote ""I think if you play it over and over, every week, you might find that it lacks variety, but in all other cases, it's fantastic value for money."" Matt Jarvis (Table Top Gaming) wrote ""What Ticket to Ride: New York lacks in staying power compared to its bigger sibling, it absolutely makes up for with a breathless pace and absurdly compact size. Keep Ticket to Ride on your dining table – play Ticket to Ride: New York everywhere else."" While receiving praise, recurring general criticism of the cities line have been made. Andy Matthews (Meeple Mountain) wrote ""Days of Wonder have released a game which gives you the Ticket to Ride experience in a fraction of the time, but perhaps at the expense of long-term strategy.""
Emphasis was placed on its veracity as an introductory version to the Ticket to Ride series. Derek Thompson (Geek under Grace) wrote ""This is the definitive travel edition / lunchtime version of Ticket to Ride. It never overstays its welcome. It's a great introduction to the series for new players, and it's a great snack for gamers who don't have time for the full meal."" While awarding a 4 out of 5, AnnaMaria Jackson-Phelps (Board Game Quest) wrote ""Ticket to Ride: New York introduces nothing new but it's a great way to introduce new players to Ticket to Ride. Simplified rules and a smaller footprint make for faster teaching, faster setup, and faster games. Tourism in the Big Apple theme is enhanced by the breakneck speed of play, as well as the focus on taxis and notable Manhattan attractions."" Andy Matthews (Meeple Mountain) wrote ""With New York, Ticket to Ride proves yet again that it is one of the strongest brands in board gaming. This game is an excellent way to introduce your non-gaming friends to board gaming in a manner that's fast, fun, and easy to teach. ... Great little simplification of the Ticket to Ride series will make a great teaching tool, but doesn't add anything for seasoned players."" Whilst giving the game a 4 out of 5, Board Gaming wrote ""Ticket To Ride is a classic game and there is a reason why it has won so many awards. Its accessibility for those not accustomed to the modern era of board gaming means everyone will enjoy it.""
On BoardGameGeek, based on a vote of 242 voting users, this version holds an average rating of 7.37 and an adjusted ""Geek Rating"" of 5.693."
monopoly,What are the current eight playable tokens in the game Monopoly as of 2023?,"As of 2023, the current eight playable tokens in Monopoly are the Cat, Racecar, Scottie Dog, Thimble, Top Hat, Boot, Penguin, and Tyrannosaurus rex.","Each player is represented by a small metal or plastic token that is moved around the edge of the board according to the roll of two six-sided dice. The number of tokens (and the tokens themselves) have changed over the history of the game with many appearing in special editions only, and some available with non-game purchases. After prints with wood tokens in 1937, a set of eight metal tokens was introduced. Two more were added in late 1937, and tokens changed again in 1942. During World War II, the game tokens were switched back to wood. Early localized editions of the standard edition (including some Canadian editions, which used the U.S. board layout) included the same wooden pawns used in Sorry!.
Many of the early tokens were created by companies such as Dowst Miniature Toy Company, which made metal tokens designed to be used on charm bracelets. The battleship and cannon were also used briefly in the Parker Brothers war game Conflict (released in 1940), but after the game failed on the market, the premade pieces were recycled for Monopoly usage. By 1943, there were ten tokens: the Battleship, Boot, Cannon, Horse and Rider, Iron, Racecar, Scottie Dog, Thimble, Top Hat, and Wheelbarrow. These tokens remained the same until the late 1990s, when Parker Brothers was sold to Hasbro.
In 1998, a Hasbro advertising campaign asked the public to vote on a new playing piece to be added to the set. The candidates were a bag of money, a biplane, and a piggy bank. The bag ended up winning 51 percent of the vote compared to the other two which failed to go above 30%. This new token was added to the set in 1999, bringing the number of tokens to eleven. Another 1998 campaign poll asked people which monopoly token was their favorite. The most popular was the Race Car at 18%, followed by the Dog (16%), Cannon (14%) and Top Hat (10%). The least favorite in the poll was the Wheelbarrow, at 3%, followed by Thimble (7%) and the Iron (7%). The Cannon, and Horse and rider were both retired in 2000 with no new tokens taking their place. Another retirement came in 2007 with the sack of money, bringing the total token count back down to eight again.
In 2013, a similar promotional campaign was launched encouraging the public to vote on one of several possible new tokens to replace an existing one. The choices were a guitar, a diamond ring, a helicopter, a robot, and a cat. This new campaign was different from the one in 1998, as the least-popular existing piece would be retired and replaced with a new one. Both were chosen by a vote that ran on Facebook from January 8 to February 5, 2013. The cat took the top spot with 31% of the vote, while the iron proved to be the least-popular classic piece and was retired and replaced by the cat.
In January 2017, Hasbro placed the line of tokens in the regular edition with another vote which included a total of 64 options. The eight playable tokens at the time included the Battleship, Boot, Cat, Racecar, Scottie Dog, Thimble, Top Hat, and Wheelbarrow. By March 17, 2017, Hasbro retired three additional tokens, the thimble, wheelbarrow, and boot; these were replaced by a penguin, a Tyrannosaurus rex and a rubber duck.
In April 2022, it was announced that a previously retired token would return to Monopoly sets. The candidates for reintroduction were the wheelbarrow, thimble, iron, horse & rider, boot, and money bag. One existing token would also be dropped from the line-up. Based on the results of the vote, Hasbro announced that the T-Rex would be replaced by the Thimble in regular sets of Monopoly starting in 2023. Another refresh of Monopoly followed in 2025, replacing the battleship with the previously retired money bag.  
Source:"
